,Slice,Mean Intensity
361,361,396.3292
362,362,396.8628
363,363,399.134
364,364,398.4324
365,365,396.1152
366,366,395.9808
367,367,392.7768
368,368,393.5216
369,369,393.0564
370,370,394.9668
371,371,393.762
372,372,393.7312
373,373,395.5336
374,374,394.2136
375,375,397.9068
376,376,397.7788
377,377,398.4364
378,378,395.7944
379,379,395.5312
380,380,396.212
381,381,396.9484
382,382,395.0188
383,383,396.218
384,384,391.8112
385,385,395.3732
386,386,392.666
387,387,393.6036
388,388,394.3044
389,389,392.5708
390,390,392.6432
391,391,393.2012
392,392,396.9776
393,393,394.8316
394,394,395.7108
395,395,394.33
396,396,339.5084
397,397,322.9368
398,398,316.3904
399,399,309.9036
400,400,308.0952
401,401,304.7456
402,402,301.6344
403,403,301.7288
404,404,300.6648
405,405,299.55
406,406,299.1536
407,407,298.9596
408,408,297.5928
409,409,295.3316
410,410,294.9404
411,411,294.6092
412,412,294.0276
413,413,296.4432
414,414,295.1768
415,415,294.1836
416,416,293.5148
417,417,290.3592
418,418,292.4812
419,419,292.6692
420,420,295.2764
421,421,300.2556
422,422,296.4072
423,423,294.8252
424,424,293.144
425,425,291.4256
426,426,281.9688
427,427,288.2696
428,428,287.6388
429,429,287.7556
430,430,286.9104
431,431,288.336
432,432,288.656
433,433,288.2008
434,434,289.0508
435,435,288.2792
436,436,288.2572
437,437,286.8288
438,438,286.4244
439,439,283.2232
440,440,286.5068
441,441,287.5312
442,442,286.2552
443,443,286.6908
444,444,288.9468
445,445,288.324
446,446,286.5328
447,447,287.4892
448,448,287.4776
449,449,288.1252
450,450,287.4316
451,451,285.998
452,452,287.1552
453,453,285.3628
454,454,284.74
455,455,286.5192
456,456,285.748
457,457,286.5596
458,458,286.8
459,459,285.7036
460,460,286.0172
461,461,287.306
462,462,287.7212
463,463,287.6612
464,464,286.1984
465,465,285.9708
466,466,285.3756
467,467,286.5192
468,468,285.2792
469,469,285.9028
470,470,288.6252
471,471,288.3816
472,472,288.1888
473,473,287.5056
474,474,287.6716
475,475,287.2612
476,476,289.4388
477,477,289.0788
478,478,290.6364
479,479,287.0996
480,480,288.4028
481,481,289.6048
482,482,289.8704
483,483,289.1156
484,484,289.0804
485,485,289.0956
486,486,287.9704
487,487,290.762
488,488,288.7904
489,489,288.4388
490,490,287.6784
491,491,289.5384
492,492,287.728
493,493,286.0616
494,494,285.9828
495,495,287.7508
496,496,287.852
497,497,285.294
498,498,287.3016
499,499,286.078
500,500,286.3324
501,501,286.5432
502,502,285.2668
503,503,285.708
504,504,284.6492
505,505,286.8328
506,506,288.8976
507,507,288.9816
508,508,287.658
509,509,287.5732
510,510,287.704
511,511,287.228
512,512,287.4208
513,513,288.5528
514,514,287.6812
515,515,287.4436
516,516,289.834
517,517,287.8144
518,518,287.4156
519,519,288.3128
520,520,288.4988
521,521,288.99
522,522,288.3604
523,523,287.87
524,524,288.0064
525,525,287.03
526,526,286.4176
527,527,286.9788
528,528,285.7364
529,529,284.8968
530,530,284.8432
531,531,285.1784
532,532,286.6324
533,533,286.1908
534,534,286.1956
535,535,286.912
536,536,288.226
537,537,286.4608
538,538,287.0016
539,539,285.7944
540,540,285.036
541,541,285.026
542,542,284.0904
543,543,283.8412
544,544,284.7356
545,545,282.7808
546,546,284.684
547,547,283.7332
548,548,282.3972
549,549,282.1788
550,550,285.0844
551,551,283.6316
552,552,285.7468
553,553,284.6636
554,554,286.6916
555,555,287.5996
556,556,286.2368
557,557,286.17
558,558,286.4112
559,559,286.388
560,560,287.7556
561,561,288.024
562,562,285.844
563,563,288.0824
564,564,288.7984
565,565,289.652
566,566,287.2776
567,567,288.4808
568,568,289.0756
569,569,288.9488
570,570,288.1444
571,571,286.8644
572,572,287.16
573,573,285.0412
574,574,287.3124
575,575,287.0412
576,576,288.5404
577,577,287.2472
578,578,287.0752
579,579,288.0012
580,580,287.3384
581,581,285.0604
582,582,286.7772
583,583,287.0468
584,584,286.9352
585,585,287.5044
586,586,285.8268
587,587,285.1624
588,588,286.6868
589,589,286.5468
590,590,285.1804
591,591,284.7804
592,592,287.4456
593,593,286.1124
594,594,287.7892
595,595,287.5228
596,596,291.568
597,597,291.2972
598,598,289.3656
599,599,291.3456
600,600,290.5176
601,601,291.0676
602,602,291.7888
603,603,292.064
604,604,289.368
605,605,289.2564
606,606,287.87
607,607,288.7328
608,608,288.3712
609,609,286.9836
610,610,288.3312
611,611,287.3956
612,612,288.4988
613,613,286.8748
614,614,287.7984
615,615,293.926
616,616,288.5004
617,617,286.6332
618,618,288.228
619,619,289.842
620,620,289.1684
621,621,287.4368
622,622,289.3328
623,623,286.2828
624,624,286.4024
625,625,286.4176
626,626,285.9788
627,627,287.826
628,628,286.4768
629,629,288.4588
630,630,287.2604
631,631,286.2684
632,632,286.5764
633,633,284.7484
634,634,289.2348
635,635,289.9264
636,636,293.3648
637,637,291.2048
638,638,293.22
639,639,291.4528
640,640,291.7804
641,641,291.4008
642,642,290.0964
643,643,291.5976
644,644,288.4188
645,645,290.3436
646,646,291.6992
647,647,289.6012
648,648,291.018
649,649,290.732
650,650,292.0312
651,651,291.5184
652,652,293.0876
653,653,291.5108
654,654,290.3524
655,655,288.8268
656,656,285.7832
657,657,286.39
658,658,286.1376
659,659,296.3792
660,660,288.2908
661,661,287.6488
662,662,289.3208
663,663,289.0496
664,664,288.4
665,665,290.7912
666,666,290.4388
667,667,291.6704
668,668,288.712
669,669,288.452
670,670,287.9484
671,671,289.3548
672,672,287.2196
673,673,288.1072
674,674,289.4512
675,675,287.8032
676,676,288.3892
677,677,289.7572
678,678,287.7564
679,679,289.7268
680,680,288.2368
681,681,291.0788
682,682,288.2176
683,683,289.5916
684,684,289.6524
685,685,289.3668
686,686,288.306
687,687,288.6288
688,688,288.3312
689,689,284.2936
690,690,289.2424
691,691,289.9352
692,692,289.208
693,693,289.0008
694,694,290.2588
695,695,288.8544
696,696,284.428
697,697,290.114
698,698,287.5444
699,699,290.1488
700,700,289.9948
701,701,289.416
702,702,289.8028
703,703,289.752
704,704,292.8544
705,705,290.792
706,706,292.678
707,707,290.2716
708,708,291.1284
709,709,290.3916
710,710,290.624
711,711,289.7228
712,712,288.194
713,713,289.216
714,714,287.4992
715,715,289.4148
716,716,288.26
717,717,289.0548
718,718,289.9984
719,719,290.2912
720,720,290.2508
721,721,289.2556
722,722,288.3724
723,723,288.9968
724,724,288.2332
725,725,288.8516
726,726,289.5336
727,727,288.3152
728,728,290.1708
